IndefiniteArticle,Noun,NounType
an,edge,concept
an,education,concept
an,effect,concept
an,egg,object
an,elbow,object
an,end,concept
an,engine,object
an,error,concept
an,event,scene
an,example,concept
an,exchange,concept
,existence,concept
,expansion,concept
,experience,concept
an,expert,concept
an,eye,object
a,face,object
a,fact,concept
a,fairy,object
a,fall,scene
a,family,scene
a,fan,object
a,fang,object
a,farm,scene
a,farmer,object
a,faucet/tap,object
,fear,concept
a,feast,scene
a,feather,object
a,feeling,concept
,fiction,concept
a,field,scene
a,fight,scene
a,finger,object
a,fire,scene
a,firefighter,object
a,fish,object
a,flag,object
a,flame,object
a,flavor,concept
,flesh,object
a,flight,scene
a,flock,scene
a,floor,object
a,flower,object
a,fly,object
,fog,scene
a,fold,concept
,food,scene
a,foot,object
,force,concept
a,fork,object
,form,concept
,fowl,concept
a,frame,object
,friction,concept
a,friend,object
a,frog,object
,fruit,object
,fuel,concept
,furniture,object
a,galley,scene
a,game,object
a,garden,scene
a,gate,object
a,ghost,object
a,giant,object
a,giraffe,object
,glass,object
a,glove,object
,glue,object
a,goat,object
a,goldfish,object
a,good-bye,concept
a,goose,object
a,government,concept
a,governor,object
,grain,object
a,grape,object
,grass,object
,ground,scene
a,group,scene
,growth,concept
a,guide,concept
a,guitar,object
a,gun,object
,hair,object
a,haircut,scene
a,hall,object
a,hammer,object
a,hand,object
a,harbor,scene
,harmony,concept
a,hat,object
,hate,concept
a,head,object
,health,concept
,hearing,concept
a,heart,object
,heat,concept
,help,scene
a,hen,object
a,hill,scene
,history,concept
a,hobby,concept
a,hole,scene
a,holiday,scene
a,home,scene
,honey,object
a,hook,object
,hope,concept
a,horn,object
a,horse,object
a,hose,object
a,hospital,scene
an,hour,concept
a,house,scene
,humor,concept
a,hydrant,object
,ice,object
an,icicle,object
an,idea,concept
an,impulse,concept
an,income,concept
an,increase,concept
an,industry,concept
,ink,object
an,insect,object
an,instrument,object
,insurance,concept
,interest,concept
an,invention,object
an,iron,object
an,island,scene
a,jail,scene
,jam,object
a,jar,object
,jeans,object
,jelly,object
a,jellyfish,object
a,jewel,object
,join,concept
a,joke,concept
a,journey,concept
a,judge,object
,juice,object
a,jump,scene
a,kettle,object
a,key,object
a,kick,scene
a,kiss,scene
a,kite,object
a,kitten,object
a,knee,object
a,knife,object
a,knot,object
,knowledge,concept
a,laborer,object
,lace,object
a,ladybug,object
a,lake,scene
a,lamp,object
,land,scene
a,language,concept
a,laugh,concept
a,leaf,object
,learning,concept
,leather,object
a,leg,object
a,letter,object
,lettuce,object
a,level,concept
a,library,scene
a,lift,scene
,light,concept
a,limit,concept
,linen,object
a,lip,object
,liquid,concept
a,list,object
a,lizard,object
a,loaf,object
a,lock,object
a,locket,object
a,look,scene
a,loss,concept
,love,concept
,lumber,object
,lunch,scene
a,lunchroom,scene
a,machine,object
,magic,concept
a,mailbox,object
a,manager,object
a,map,object
a,marble,object
a,mark,object
a,market,scene
a,mask,object
a,match,object
a,meal,scene
a,measure,concept
,meat,object
a,meeting,scene
,memory,concept
,metal,object
,milk,object
a,mind,concept
a,mine,scene
a,minister,object
,mint,object
a,minute,concept
,mist,scene
a,mitten,object
,money,object
a,monkey,object
a,month,concept
a,moon,object
,morning,scene
,motion,concept
a,mountain,scene
a,mouse,object
a,mouth,object
a,move,concept
,muscle,object
,music,concept
a,nail,object
a,name,concept
a,nation,concept
a,neck,object
,need,concept
a,needle,object
a,nest,object
a,net,object
,news,scene
a,night,scene
,noise,concept
,north,concept
a,nose,object
a,note,object
a,notebook,object
a,nut,object
an,observation,concept
an,ocean,scene
an,offer,concept
an,office,scene
,oil,object
an,operation,scene
an,opinion,concept
an,orange,object
,order,concept
an,organization,concept
an,ornament,object
an,oven,object
an,owl,object
a,page,object
a,pail,object
,pain,concept
,paint,object
a,pan,object
a,pancake,object
,paper,object
a,parcel,object
a,parent,object
a,park,scene
a,partner,object
a,party,scene
a,passenger,object
a,patch,object
a,pavement/sidewalk,scene
a,payment,concept
,peace,concept
a,pear,object
a,pen,object
a,pencil,object
a,person,object
a,pest,object
a,pet,object
a,pickle,object
a,picture,object
a,pie,object
a,pig,object
a,pin,object
a,pipe,object
a,pizza,object
a,place,scene
a,plane,object
a,plant,object
,plastic,object
a,plate,object
a,play,scene
a,playground,scene
,pleasure,concept
a,plot,concept
a,plough,object
a,pocket,object
a,point,concept
,poison,concept
,police,object
,polish,object
,pollution,concept
,popcorn,object
a,porter,object
a,position,concept
a,pot,object
a,potato,object
a,potion,object
a,powder,object
,power,concept
a,price,object
a,print,scene
a,prison,scene
a,process,concept
,produce,scene
,profit,concept
,property,concept
,prose,concept
,protest,concept
a,pump,object
,punishment,concept
a,purpose,concept
a,question,concept
,quicksand,scene
,quiet,concept
a,quill,object
a,quilt,object
a,quiver,object
a,rabbit,object
a,rail,object
a,railway,scene
,rain,scene
a,rainstorm,scene
a,rake,object
a,range,concept
a,rat,object
a,rate,concept
a,ray,object
a,reaction,concept
,reading,concept
,reason,concept
a,receipt,object
,regret,concept
,relation,concept
,religion,concept
a,request,concept
,respect,concept
a,rest,concept
a,reward,concept
,rhythm,concept
,rice,object
a,riddle,concept
a,rifle,object
a,ring,object
a,river,scene
a,road,scene
a,robin,object
a,rock,object
a,rod,object
a,roll,object
a,roof,object
a,room,scene
a,root,object
a,rose,object
a,route,scene
a,rule,concept
a,ruler,object
a,run,scene
a,sack,object
a,sail,object
,salt,object
,sand,object
,scale,concept
a,scarecrow,object
a,scarf,object
a,scent,concept
a,school,scene
,science,concept
,scissors,object
a,screw,object
a,scroll,object
a,sea,scene
a,seashore,object
a,seat,object
a,seed,object
a,selection,concept
a,sense,concept
,shade,concept
a,shake,object
,shame,concept
a,sheep,object
a,sheet,object
a,shelf,object
a,shield,object
a,ship,object
a,shirt,object
a,shock,object
a,shoe,object
a,shop,scene
a,show,scene
a,sibling,object
a,sign,object
,silk,object
a,sink,object
a,skate,object
a,skirt,object
,sky,scene
,sleep,concept
,sleet,scene
a,slip,scene
a,slope,scene
a,smile,object
,smoke,scene
a,snail,object
a,snake,object
a,sneeze,scene
,snow,scene
,soap,object
,society,concept
a,sock,object
,soda,object
a,sofa,object
a,song,concept
,sound,concept
,soup,object
,space,concept
a,spade,object
a,spark,object
a,spider,object
a,sponge,object
a,spoon,object
a,spot,object
,spring,concept
a,spy,object
a,squirrel,object
a,stage,scene
a,stamp,object
a,star,object
a,start,concept
a,statement,concept
a,station,scene
,steam,scene
a,stem,object
a,step,object
,stew,object
a,stick,object
a,stitch,object
a,stocking,object
a,stomach,object
a,stone,object
a,stop,concept
a,story,concept
a,stove,object
a,stranger,object
a,straw,object
a,stream,scene
a,street,scene
a,stretch,concept
a,string,object
a,structure,scene
a,substance,concept
,sugar,object
a,suggestion,concept
a,suit,object
,summer,concept
a,sun,object
,support,concept
,surprise,concept
a,sweater,object
a,swim,scene
a,swing,object
a,system,concept
a,table,object
a,tail,object
a,talk,scene
a,tank,object
a,taste,concept
a,tax,concept
,teaching,scene
a,team,scene
,teeth,object
a,temper,concept
a,tendency,concept
a,tent,object
a,territory,concept
a,test,scene
a,texture,concept
a,theory,concept
a,thought,concept
a,thread,object
a,thrill,concept
a,throat,object
a,throne,object
a,thumb,object
,thunder,scene
a,ticket,object
a,tiger,object
,time,concept
a,tin,object
a,title,concept
a,toad,object
a,toe,object
a,tomato,object
a,tongue,object
a,toothbrush,object
a,top,object
a,touch,scene
a,town,scene
a,toy,object
a,trade,scene
a,trail,scene
a,train,object
,transport,concept
a,tray,object
,treatment,concept
a,tree,object
a,trick,scene
a,trip,scene
,trouble,concept
,trousers,object
a,truck,object
a,tub,object
a,turkey,object
a,turn,concept
a,twig,object
a,twist,concept
an,umbrella,object
,underwear,object
a,unit,object
a,use,concept
a,vacation,scene
a,value,concept
a,van,object
a,vase,object
a,vegetable,object
a,veil,object
a,vein,object
a,vessel,scene
a,vest,object
a,view,scene
a,visitor,object
a,voice,concept
a,volcano,scene
a,voyage,scene
a,walk,scene
a,wall,object
a,war,scene
a,wash,scene
,waste,concept
a,watch,object
,water,object
a,wave,object
,wax,object
,wealth,concept
a,weapon,object
,weather,concept
a,week,concept
,weight,concept
a,wheel,object
a,whip,object
a,whistle,object
,wilderness,scene
,wind,concept
a,window,object
,wine,object
a,wing,object
,winter,concept
a,wire,object
,wood,object
a,word,concept
,work,scene
a,worm,object
a,wound,object
a,wren,object
a,wrench,object
a,wrist,object
a,writer,concept
a,xylophone,object
a,yak,object
a,yard,scene
,yarn,object
a,year,concept
a,yoke,object
,yourself,object
a,zebra,object
a,zipper,object
a,zoo,scene
